patch_cells,patch_arcmin,hole_arcmin,field,sample,gaussian_mse,gaussian_corr,void_auc,overdense_auc,peak_auc
16,7.5,3.75,south_105m35,cell_permutation,2.6425990192816142,-0.0007130950941819377,,0.35416666666666663,0.41666666666666674
16,7.5,3.75,south_105m35,matched_shift,2.8293056561737497,-0.0688485667490079,0.5833333333333334,0.6333333333333333,0.53125
16,7.5,3.75,south_135m25,real,2.391419483932581,-0.021729794174725543,0.7636363636363636,0.8214285714285714,0.6181818181818182
16,7.5,3.75,south_135m25,cell_permutation,2.345717792820103,-0.026963061785309012,0.8666666666666667,0.8571428571428572,0.6923076923076923
16,7.5,3.75,south_135m25,matched_shift,2.458600440189612,-0.026197924419655634,0.6727272727272727,0.4285714285714286,0.690909090909091
16,7.5,3.75,south_210m35,real,2.8581483112382933,0.013960083467043723,0.5090909090909091,0.8666666666666667,0.43589743589743585
16,7.5,3.75,south_210m35,cell_permutation,3.171418913891465,-0.017105422359082273,0.4761904761904762,0.33333333333333337,0.16666666666666666
16,7.5,3.75,south_210m35,matched_shift,2.9951272671684026,0.016707565252499224,0.4909090909090909,0.8666666666666667,0.4358974358974359
16,7.5,3.75,des_315m45,real,2.0085880204127795,0.0005157361337979232,0.75,0.4666666666666667,
16,7.5,3.75,des_315m45,cell_permutation,2.195980176804573,0.004193666944758756,0.14285714285714285,0.33333333333333337,
16,7.5,3.75,des_315m45,matched_shift,2.061492855213452,-0.01372930798109349,0.5333333333333333,0.19999999999999996,
16,7.5,3.75,south_330m45,real,1.6768206085531017,0.034937172454413794,0.9230769230769231,0.8666666666666667,
16,7.5,3.75,south_330m45,cell_permutation,1.811383328739093,0.008186265744980098,0.8666666666666667,0.5833333333333333,0.5333333333333333
16,7.5,3.75,south_330m45,matched_shift,1.6833117426815412,0.01881861313070281,0.5897435897435896,0.8,
16,7.5,3.75,south_345m30,real,2.4652046239956658,0.08071895397150236,0.8253968253968254,0.7636363636363636,0.5897435897435896
16,7.5,3.75,south_345m30,cell_permutation,2.661661964796608,0.029845649254816604,0.6666666666666667,0.33333333333333337,0.4285714285714286
16,7.5,3.75,south_345m30,matched_shift,2.556545507711685,-0.01239705783333386,0.5555555555555556,0.5818181818181818,0.7435897435897436
