field,patch_y,patch_x,z1,z2,gmm3
south_330m45,4,3,-0.6063745433950782,-1.5475701578925736,0
south_330m45,4,4,-0.4299374845858667,1.3616826562905446,2
south_330m45,4,5,-0.14447142058434148,-0.3207181854366866,0
south_330m45,4,6,0.06335348130386034,0.10478572247012863,2
south_330m45,4,7,-0.3713218680773226,0.6607846324080711,2
south_330m45,5,0,-1.186578076706851,0.6201894847841427,0
south_330m45,5,1,-0.613352755313842,-0.0762450931846359,0
south_330m45,5,2,-1.1917751414038684,0.6262512920049401,0
south_330m45,5,3,-2.5939055840659364,0.914076507983181,0
south_330m45,5,4,-0.7872258573386886,2.071859978478506,2
south_330m45,5,5,-0.5663658717899978,-0.20581593054882608,0
south_330m45,5,6,0.07509697652301206,0.25380419602826576,2
south_330m45,5,7,-0.674191044257632,-1.8536827285591964,0
south_330m45,6,0,0.799467919751171,0.2672102916037972,2
south_330m45,6,1,2.0024988111622877,-1.753693366536318,1
south_330m45,6,2,-0.348184789703265,-0.12528726457337386,0
south_330m45,6,3,1.9060164337980976,-0.2449725780669172,1
south_330m45,6,4,-1.8471147635701486,-0.37299336942246036,0
south_330m45,6,5,-0.21590429615631596,-0.7152952845695562,0
south_330m45,6,6,0.7852068626976568,0.22438148085623,2
south_330m45,6,7,4.46189557628659,0.8436502515143153,1
south_330m45,7,0,2.8739726842109743,0.8764950163840473,1
south_330m45,7,1,1.6228938904613548,-0.9437307884825469,1
south_330m45,7,2,2.7455573206726185,-4.036337194641643,1
south_330m45,7,3,1.995047236734123,-0.23343024385058847,1
south_330m45,7,4,1.6340713736374162,-0.032145109440400055,1
south_330m45,7,5,0.8474968852938447,-0.1920026702572775,2
south_330m45,7,6,-0.42788482933210165,0.09625399005923989,0
south_330m45,7,7,2.2308151118294828,-0.09671148270497854,1
south_345m30,0,0,-1.0470693772895896,1.672220260464611,2
south_345m30,0,1,-1.8322876195307356,0.6939292065124383,0
south_345m30,0,2,2.2821266356240635,1.0687545940716563,2
south_345m30,0,3,2.0113306512993026,0.7023436353017696,2
south_345m30,0,4,1.1805966191953008,-0.41204611487590787,1
south_345m30,0,5,1.4680006339089262,1.2966121945765674,2
south_345m30,0,6,2.693962610845776,-0.6158300710905839,1
south_345m30,0,7,4.627315284612065,2.2394427397569654,1
south_345m30,1,0,-1.3112921943360643,0.2290356392603331,0
