selection,field,sample,void_auc,overdense_auc,peak_auc,gaussian_corr,gaussian_mse
thin50,south_045m30,matched_shift,0.36639676113360325,0.4352678571428571,0.47619047619047616,-0.04985537445332319,1.6255315082626998
thin50,south_075m45,real,0.5986277873070326,0.7187499999999999,0.5817307692307693,0.04071402850542419,0.9940661691131958
thin50,south_075m45,matched_shift,0.4528301886792453,0.5716145833333334,0.5320512820512819,-0.028625222388512565,1.0158975337159661
thin50,south_105m35,real,0.529296875,0.8125,0.5580693815987934,0.08341497517572051,1.3909509015970376
thin50,south_105m35,matched_shift,0.5888671875,0.49166666666666664,0.37858220211161386,0.026241797571036327,1.4493448689664135
thin50,south_135m25,real,0.6625,0.6600985221674877,0.3629032258064516,0.04153516741396736,0.5362949308679512
thin50,south_135m25,matched_shift,0.3916666666666667,0.5044334975369459,0.4838709677419355,-0.021776923675170153,0.5577587909391473
thin50,south_210m35,real,0.6532258064516129,0.6768472906403942,0.5592469545957919,0.029757489229516463,0.9461183755598515
thin50,south_210m35,matched_shift,0.5967741935483871,0.4798029556650247,0.5049833887043189,-0.005419418898844625,0.9610791065819201
thin50,des_315m45,real,0.6061507936507936,0.6040100250626567,0.386904761904762,0.10806855022626412,1.5335935861810759
thin50,des_315m45,matched_shift,0.3402777777777778,0.37593984962406024,0.4603174603174603,-0.009094682479949224,1.6114223298637773
thin50,south_330m45,real,0.5457627118644067,0.6354679802955665,0.5959595959595959,0.09357909966421286,0.7847412104520792
thin50,south_330m45,matched_shift,0.3254237288135593,0.5655172413793104,0.48484848484848486,0.02631451856962471,0.8155568938915243
thin50,south_345m30,real,0.7146198830409356,0.8644939965694683,0.6935483870967741,0.15036226818171,0.5767781301457016
thin50,south_345m30,matched_shift,0.4222222222222222,0.4699828473413379,0.685483870967742,-0.04716046563664965,0.6302450743617283
equal11000_clean,cosmos,real,0.9636363636363636,0.7497536945812807,0.541927409261577,0.25051373018812306,0.6910500036292082
equal11000_clean,cosmos,matched_shift,0.404040404040404,0.42758620689655175,0.5244055068836044,-0.0173543365196813,0.7951934190236252
equal11000_clean,xmm_lss,real,0.5636766334440753,,0.6137820512820513,0.12265090362364002,1.4283146597086718
equal11000_clean,xmm_lss,matched_shift,0.3499446290143965,,0.6442307692307693,0.0072599150579491034,1.575581900409658
equal11000_clean,cdfs,real,0.6833333333333333,0.6842105263157894,0.5806938159879336,0.0992389930797066,0.7363564922705041
equal11000_clean,cdfs,matched_shift,0.4083333333333334,0.5181286549707602,0.46304675716440424,-0.042527170976488025,0.786031063801034
equal11000_clean,elais_s1,real,0.9416666666666667,0.5735930735930735,0.6474358974358975,0.2582250835508794,0.659569529942772
equal11000_clean,elais_s1,matched_shift,0.41666666666666663,0.37337662337662336,0.358974358974359,0.0226839236065652,0.7430766439050516
equal11000_clean,south_045m30,real,0.5941295546558705,0.5887096774193548,0.6748299319727891,0.1805872863448498,1.3688108494144318
equal11000_clean,south_045m30,matched_shift,0.47368421052631576,0.7822580645161291,0.6217687074829932,-0.005684354576045956,1.563066028046645
equal11000_clean,south_075m45,real,0.6478174603174603,1.0,0.4388888888888889,0.2570610861467835,1.2937525906696101
equal11000_clean,south_075m45,matched_shift,0.5238095238095238,0.5555555555555556,0.5,0.01167548399848883,1.5176430876954887
equal11000_clean,south_105m35,real,,1.0,1.0,0.831727287452128,0.24820568992511374
equal11000_clean,south_105m35,matched_shift,,0.4182266009852217,0.454679802955665,0.01240828085858384,1.1661370230706665
equal11000_clean,south_135m25,real,0.9192982456140351,0.7427427427427428,0.44262295081967207,0.6119596936872274,0.478413850941686
equal11000_clean,south_135m25,matched_shift,0.35438596491228064,0.3903903903903903,0.2131147540983607,-0.031095141520656372,0.8824299380711382
equal11000_clean,south_210m35,real,0.8033898305084746,0.5567632850241546,0.5888888888888889,0.16175119132560153,0.6631649030232739
equal11000_clean,south_210m35,matched_shift,0.4576271186440678,0.3091787439613527,0.6944444444444445,-0.007299985029990739,0.7028670488041961
equal11000_clean,des_315m45,real,0.6098522167487684,0.7580645161290323,0.4957118353344768,0.15053589064478792,1.292851402461399
equal11000_clean,des_315m45,matched_shift,0.5261083743842364,0.7016129032258064,0.6346483704974272,-0.01487372641726415,1.414295545077246
equal11000_clean,south_330m45,real,0.9541666666666666,0.6850649350649352,0.6333333333333333,0.2406795255029463,0.6211671280214273
equal11000_clean,south_330m45,matched_shift,0.23750000000000002,0.48484848484848486,0.5592592592592592,-0.05758464021370035,0.7162727991555788
equal11000_clean,south_345m30,real,0.7410714285714286,0.8875,0.6576271186440679,0.36362006638411515,0.4862576474657144
equal11000_clean,south_345m30,matched_shift,0.4084821428571429,0.5352272727272727,0.48813559322033906,0.0028817548016812993,0.6070033924409453
