mask,field,sample,method,hidden_fraction,mse,corr
stripe25,south_345m30,real,pca,0.25,1.3496375752906147,0.20248459198040855
stripe25,south_345m30,real,knn20,0.25,1.0503463690993724,0.18986941096092327
stripe25,south_345m30,matched_shift,mean,0.25,1.0835585789081938,0.01299456956739265
stripe25,south_345m30,matched_shift,gaussian,0.25,1.142539333525685,0.012709639834320165
stripe25,south_345m30,matched_shift,pca,0.25,1.5478711567427386,0.05838600588871172
stripe25,south_345m30,matched_shift,knn20,0.25,1.1020900779516545,0.06246145319541681
random25,cosmos,real,mean,0.25,0.9161104930622841,0.0013861466282878677
random25,cosmos,real,gaussian,0.25,0.865181869641811,0.25887150959267596
random25,cosmos,real,pca,0.25,1.176419042509204,0.16967536709218917
random25,cosmos,real,knn20,0.25,0.8994597854482942,0.15790114587706125
random25,cosmos,matched_shift,mean,0.25,0.9161104930622841,0.0013861466282878677
random25,cosmos,matched_shift,gaussian,0.25,0.9734755753221711,0.011435765881914618
random25,cosmos,matched_shift,pca,0.25,1.495518159964492,-0.007258719372915134
random25,cosmos,matched_shift,knn20,0.25,0.9481878037740459,0.02525384901337447
random25,xmm_lss,real,mean,0.25,1.4065530641116686,0.009317924062870344
random25,xmm_lss,real,gaussian,0.25,1.3438176511092468,0.22376147297148638
random25,xmm_lss,real,pca,0.25,1.776813345439956,0.1578845058923939
random25,xmm_lss,real,knn20,0.25,1.4006814149577997,0.1292161203509833
random25,xmm_lss,matched_shift,mean,0.25,1.4065530641116686,0.009317924062870344
random25,xmm_lss,matched_shift,gaussian,0.25,1.492237536968076,0.00435292530421122
random25,xmm_lss,matched_shift,pca,0.25,2.1205307563847806,0.007529575106755207
random25,xmm_lss,matched_shift,knn20,0.25,1.4492653215319373,0.004748894468480667
random25,cdfs,real,mean,0.25,1.0461120319152077,-0.009353180740802703
random25,cdfs,real,gaussian,0.25,1.0977341444691437,0.11150276944340698
random25,cdfs,real,pca,0.25,1.5086966364735417,0.09838786540158657
random25,cdfs,real,knn20,0.25,1.0850088061132046,0.03310800658910213
random25,cdfs,matched_shift,mean,0.25,1.0461120319152077,-0.009353180740802703
random25,cdfs,matched_shift,gaussian,0.25,1.1092695355041153,0.021935882935607172
random25,cdfs,matched_shift,pca,0.25,1.7346668809444092,-0.006169602314563124
random25,cdfs,matched_shift,knn20,0.25,1.0906355445956892,0.004488523290542494
random25,elais_s1,real,mean,0.25,0.7329734734540261,0.024953054827473137
random25,elais_s1,real,gaussian,0.25,0.7202936079981253,0.1718100106972002
random25,elais_s1,real,pca,0.25,0.950927921428519,0.13382447812561707
random25,elais_s1,real,knn20,0.25,0.7215131316928851,0.12979748730666268
random25,elais_s1,matched_shift,mean,0.25,0.7329734734540261,0.024953054827473137
random25,elais_s1,matched_shift,gaussian,0.25,0.7590184843605018,0.05750745932784997
random25,elais_s1,matched_shift,pca,0.25,1.1148313828856133,0.06003331947687271
random25,elais_s1,matched_shift,knn20,0.25,0.7676535160082497,0.012660930180363118
random25,south_045m30,real,mean,0.25,0.7836370877505774,0.006619227208545455
random25,south_045m30,real,gaussian,0.25,0.7826301492594283,0.11816739070379674
random25,south_045m30,real,pca,0.25,0.995615185429666,0.0931129864118708
random25,south_045m30,real,knn20,0.25,0.7902357272598249,0.05631767423125553
random25,south_045m30,matched_shift,mean,0.25,0.7836370877505774,0.006619227208545455
random25,south_045m30,matched_shift,gaussian,0.25,0.8259235516756522,0.004400037201701766
random25,south_045m30,matched_shift,pca,0.25,1.188129638653354,-0.018962093805170097
random25,south_045m30,matched_shift,knn20,0.25,0.8194843689276948,-0.0004515374733905963
random25,south_075m45,real,mean,0.25,1.1906872774869877,-0.007174391587518264
random25,south_075m45,real,gaussian,0.25,1.2085309514967557,0.11495992224379672
random25,south_075m45,real,pca,0.25,1.57476192968319,0.07710846412947521
random25,south_075m45,real,knn20,0.25,1.1742277847617153,0.1140477558595977
random25,south_075m45,matched_shift,mean,0.25,1.1906872774869877,-0.007174391587518264
random25,south_075m45,matched_shift,gaussian,0.25,1.2585092708456784,0.002085784336993533
random25,south_075m45,matched_shift,pca,0.25,1.842648536223027,-0.0005906902159221213
random25,south_075m45,matched_shift,knn20,0.25,1.2280251847847325,-0.0024759465809252477
random25,south_105m35,real,mean,0.25,1.0538023483508838,0.020435750614158345
random25,south_105m35,real,gaussian,0.25,1.0880717272281455,0.1251421721620136
random25,south_105m35,real,pca,0.25,1.4219556044107726,0.10451454793809041
random25,south_105m35,real,knn20,0.25,1.075897944810266,0.05011720900141491
random25,south_105m35,matched_shift,mean,0.25,1.0538023483508838,0.020435750614158345
random25,south_105m35,matched_shift,gaussian,0.25,1.1441005694179092,-0.02193133705785842
random25,south_105m35,matched_shift,pca,0.25,1.6910360118873606,-0.009200348618104617
random25,south_105m35,matched_shift,knn20,0.25,1.1011572872931068,-0.018298928807675058
random25,south_135m25,real,mean,0.25,0.9416051381747041,-0.012579692494505707
random25,south_135m25,real,gaussian,0.25,0.9943902248374188,0.08080083454264153
random25,south_135m25,real,pca,0.25,1.339627567063334,0.04062245826622631
random25,south_135m25,real,knn20,0.25,0.9431805668730168,0.1204470959986795
random25,south_135m25,matched_shift,mean,0.25,0.9416051381747041,-0.012579692494505707
